Channel_DNA,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05MeasureImageQuality,FileName_DNA,Frame_DNA,Group_Index,Group_Number,Height_DNA,ImageNumber,ImageQuality_Correlation_DNA_10,ImageQuality_Correlation_DNA_20,ImageQuality_Correlation_DNA_5,ImageQuality_Correlation_DNA_50,ImageQuality_FocusScore_DNA,ImageQuality_LocalFocusScore_DNA_10,ImageQuality_LocalFocusScore_DNA_20,ImageQuality_LocalFocusScore_DNA_5,ImageQuality_LocalFocusScore_DNA_50,ImageQuality_MADIntensity_DNA,ImageQuality_MaxIntensity_DNA,ImageQuality_MeanIntensity_DNA,ImageQuality_MedianIntensity_DNA,ImageQuality_MinIntensity_DNA,ImageQuality_PercentMaximal_DNA,ImageQuality_PercentMinimal_DNA,ImageQuality_PowerLogLogSlope_DNA,ImageQuality_Scaling_DNA,ImageQuality_StdIntensity_DNA,ImageQuality_TotalArea_DNA,ImageQuality_TotalIntensity_DNA,ImageSet_ImageSet,MD5Digest_DNA,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05MeasureImageQuality,PathName_DNA,ProcessingStatus,Scaling_DNA,Series_DNA,URL_DNA,Width_DNA
-1,0.0,0.0,1.09375,0.0,7.125,Astra_0.tif,0,1,1,1994,1,0.6294593603748398,0.39991322758826164,0.7944466707980077,0.07627354185861497,0.017469211908872913,0.021936179078098167,0.05273162662351401,0.004951826657229028,0.0529170215889544,0.002136263,0.40569162,0.0056531679337787685,0.0022583352,0.0,2.5150677710161578e-05,3.2293218673070365,-1.968835006404622,65535,0.009937625,3976036,22477.2,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3kCvJDMNnBxgbgF6EWQHZsIBMRCJB+xJIAMcPqCE5OtqBwD5tn2q',574d69df4d5c2621908b780986b0e92a,file:///D:/Aprit_renamed_images/train/blur/Astra_0.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_0.tif,1994
-1,0.0,0.0,1.703125,0.0,9.09375,Astra_1.tif,0,2,1,1994,2,0.6415586681113508,0.3977500148181385,0.7940798833191193,0.06440573783882197,0.014189656407092782,0.015589403932613752,0.029339250997918793,0.00307070189436037,0.028974345141043197,0.002121004,0.18184176,0.005533441374619093,0.0022430762,0.0,2.5150677710161578e-05,2.507321362281428,-1.9706318616597351,65535,0.008861017,3976036,22001.162,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3lCvJDMNnBxgbgF6EWQHZsIBMRCJB+xJIAMcPqCE5OtqBwD6A32r',a5511cf3954847b696876246a13a15bd,file:///D:/Aprit_renamed_images/train/blur/Astra_1.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_1.tif,1994
-1,0.0,0.0,1.703125,0.0,9.78125,Astra_10.tif,0,3,1,1994,3,0.5547986594908044,0.2984458914518221,0.73426010968162,0.02487188324436025,0.02019834861917349,0.017320280430461747,0.03245266731687442,0.0037991963855351072,0.028266604276187133,0.002059968,0.31242847,0.007136268030206467,0.002166781,0.0,2.5150677710161578e-05,2.3505320374362806,-1.9605892720017821,65535,0.0120058665,3976036,28374.059,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3tBAryQzDZweYI4B+hFkCWbKATEQqQfsSyADHECglOTragcAb+192w==',ea2a50c5b4c9e8aba6ef399a62a77503,file:///D:/Aprit_renamed_images/train/blur/Astra_10.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_10.tif,1994
-1,0.0,0.0,1.703125,0.0,10.125,Astra_100.tif,0,4,1,1994,4,0.6230390575099848,0.40246346361248114,0.7906924075301416,0.05792945532301008,0.006800149240104383,0.010595599557474298,0.036159627882898684,0.0019932232574627045,0.034488938390080874,0.0013275349,0.18883039,0.004483340159646442,0.00280766,0.0,2.5150677710161578e-05,0.0006287669427540394,-1.8623615117057915,65535,0.005521538,3976036,17825.922,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3tDAQK8kMw2cIGCuAXoSZAtm0gExEMkH7E0gAxxCoKTk62oHAOX4fgs=',d1438a498a8d59b510fd1b218395e98a,file:///D:/Aprit_renamed_images/train/blur/Astra_100.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_100.tif,1994
-1,0.0,0.0,1.578125,0.0,9.71875,Astra_101.tif,0,5,1,1994,5,0.29496446163337575,0.09516664650440212,0.5238049523720374,-9.882107483078466e-05,0.002387722199831713,0.007320997616459657,0.010113684037072985,0.002047828291430964,0.007836931198357358,0.0016021975,0.16937514,0.006036111071900506,0.0052338447,0.0,2.5150677710161578e-05,0.00010060271084064631,-1.2993804292623043,65535,0.0037963875,3976036,23999.795,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3tDAUK8kMw2cIGCuAXoSZAtm0gExEMkH7E0gAxxCoKTk62oHAOZFfgw=',056feb34c26a5d248d22b5a41a6daa15,file:///D:/Aprit_renamed_images/train/blur/Astra_101.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_101.tif,1994
-1,0.0,0.0,1.671875,0.0,9.875,Astra_102.tif,0,6,1,1994,6,0.6422606538482414,0.3974753345676218,0.7686391210796149,0.01350834763095669,0.02448158688802053,0.09782578741676856,0.2757849510951318,0.022019766373991584,0.011926751813117758,0.00032043946,0.21535058,0.006336406725190617,0.0006103609,0.0,2.5150677710161578e-05,0.6136513854502323,-1.7939005944228865,65535,0.012454931,3976036,25193.781,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3tDASK8kMw2cIGCuAXoSZAtm0gExEMkH7E0gAxxCoKTk62oHAOaSfg0=',7a0916b078bb6bd430af0fe61faaf4c1,file:///D:/Aprit_renamed_images/train/blur/Astra_102.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_102.tif,1994
-1,0.0,0.0,1.765625,0.0,9.65625,Astra_103.tif,0,7,1,1994,7,0.7539846243897559,0.49718627147737526,0.8782659984551527,0.03940829314822133,0.0034480792146882977,0.0012771046324291484,0.004561451498719144,0.00020164619859757473,0.0017376485846748385,0.00016784924,0.019287404,0.00118804506823819,0.00028992142,0.0,2.5150677710161578e-05,1.9793834864674265,-2.1825731942883033,65535,0.0020239747,3976036,4723.71,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3tDAWK8kMw2cIGCuAXoSZAtm0gExEMkH7E0gAxxCoKTk62oHAObffg4=',b969c189083ffbbdc11ed1a0ecaca30b,file:///D:/Aprit_renamed_images/train/blur/Astra_103.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_103.tif,1994
-1,0.0,0.0,1.71875,0.0,9.5,Astra_104.tif,0,8,1,1994,8,0.6255363656770853,0.4511036498148478,0.7360364407399164,0.11137394926103678,0.009972438590728315,0.006439309709450448,0.021635989916108656,0.0011495849869397857,0.12638039311972005,0.0002136263,0.17984283,0.003283328624916877,0.0003509575,0.0,2.5150677710161578e-05,1.15031654642966,-1.8193627357363782,65535,0.0057221316,3976036,13054.633,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3tDARK8kMw2cIGCuAXoSZAtm0gExEMkH7E0gAxxCoKTk62oHAOcsfg8=',f14761c0b9c90d54c4ecb4aac2300e26,file:///D:/Aprit_renamed_images/train/blur/Astra_104.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_104.tif,1994
-1,0.0,0.0,1.65625,0.0,9.484375,Astra_105.tif,0,9,1,1994,9,0.7186541282098297,0.49469301051444187,0.8393326860957158,0.11900794687141793,0.007123820260897662,0.0012488476266568444,0.005428414818588076,0.00017775069981452234,0.0112700353591462,0.00051880674,0.08406195,0.0023457504122038884,0.00053406577,0.0,2.5150677710161578e-05,4.981368377952312,-2.228556274810855,65535,0.004087873,3976036,9326.788,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3tDAVK8kMw2cIGCuAXoSZAtm0gExEMkH7E0gAxxCoKTk62oHAOd5fhA=',cb910ca4a4f91868ba4d00f561313f15,file:///D:/Aprit_renamed_images/train/blur/Astra_105.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_105.tif,1994
-1,0.0,0.0,1.703125,0.0,9.90625,Astra_106.tif,0,10,1,1994,10,0.2582485830911338,0.12848959577584945,0.4189374313991011,0.019249761031764963,0.009291597599706122,0.016098881214159,0.022315368541600072,0.004489993451104378,0.015226084054333613,0.004074159,0.29439232,0.006314570336982613,0.0043183034,0.0,2.5150677710161578e-05,0.5342506959192522,-1.5621013903432721,65535,0.0076597943,3976036,25106.959,b'eLtOvqSYsxlNGeSmjJzSIn3HYiAn3tDATK8kMw2cIGCuAXoSZAtm0gExEMkH7E0gAxxCoKTk62oHAOfGfhE=',75ebdcff02e32bb62b2761c7f50c9c8f,file:///D:/Aprit_renamed_images/train/blur/Astra_106.tif,0,0,0,0,0,0,0,D:\Aprit_renamed_images\train\blur,Done,65535,0,file:///D:/Aprit_renamed_images/train/blur/Astra_106.tif,1994
